,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineStyle,Full_Name
695,Caudium Aglianico 2018,Italy,Campania,Masseria Frattasi,3.8,122,10.57,2018,red,Caudium Aglianico 2018 Masseria Frattasi red
696,Barthélémy 2010,France,Francs - Côtes de Bordeaux,Château le Puy,4.2,122,149.0,2010,red,Barthélémy 2010 Château le Puy red
697,Aenigma Red 2014,South Africa,Elgin,Neil Ellis,3.5,122,9.9,2014,red,Aenigma Red 2014 Neil Ellis red
698,Toscana Rosso 2015,Italy,Toscana,La Madonnina,4.1,122,26.0,2015,red,Toscana Rosso 2015 La Madonnina red
699,Crozes-Hermitage Domaine de Thalabert 1996,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.8,122,54.25,1996,red,Crozes-Hermitage Domaine de Thalabert 1996 Paul Jaboulet Aîné red
700,Finca Biniagual Gran Verán 2015,Spain,Binissalem-Mallorca,Biniagual,4.0,122,46.79,2015,red,Finca Biniagual Gran Verán 2015 Biniagual red
701,Martin Melck Cabernet Sauvignon 2015,South Africa,Stellenbosch,Muratie,4.1,122,13.99,2015,red,Martin Melck Cabernet Sauvignon 2015 Muratie red
702,Vitral Reserva Carmenère 2018,Chile,Rapel Valley,Viña Maipo,3.6,122,7.5,2018,red,Vitral Reserva Carmenère 2018 Viña Maipo red
703,Chianti Classico 2014,Italy,Chianti Classico,Cinciole,3.8,122,14.57,2014,red,Chianti Classico 2014 Cinciole red
704,Bordeaux Rouge 2015,France,Bordeaux,Château Vircoulon,3.2,122,8.95,2015,red,Bordeaux Rouge 2015 Château Vircoulon red
705,Terroir Series Cabernet Sauvignon 2016,Argentina,Mendoza,Kaiken,3.7,122,10.24,2016,red,Terroir Series Cabernet Sauvignon 2016 Kaiken red
706,Barbera d'Alba Maria Gioana 2015,Italy,Barbera d'Alba,Giacosa Fratelli,4.0,122,14.62,2015,red,Barbera d'Alba Maria Gioana 2015 Giacosa Fratelli red
707,Blauer Spätburgunder 2013,Germany,Baden,Ziereisen,3.4,122,11.31,2013,red,Blauer Spätburgunder 2013 Ziereisen red
708,Châteauneuf-du-Pape (Tradition) Rouge 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,122,49.95,2010,red,Châteauneuf-du-Pape (Tradition) Rouge 2010 Domaine de la Janasse red
709,Rosso di Montepulciano 2018,Italy,Rosso di Montepulciano,Tenuta di Gracciano della Seta,3.9,122,8.53,2018,red,Rosso di Montepulciano 2018 Tenuta di Gracciano della Seta red
